id,name,coment,length,keyframe,path
401505,4015_stun,魏延小兵,,,Models/4015/Animations
401506,4015_walk,魏延小兵,,,Models/4015/Animations
100601,1006_atk1,黄忠,1,0.64,Models/1006/Animations
100602,1006_atk2,黄忠,1,0.64,Models/1006/Animations
100603,1006_die,黄忠,,0,Models/1006/Animations
100604,1006_hurt,黄忠,0.667,0,Models/1006/Animations
100605,1006_idle,黄忠,,0,Models/1006/Animations
100606,1006_prepare,黄忠,1,0,Models/1006/Animations
100607,1006_skl51,黄忠,1.567,0.55,Models/1006/Animations
100608,1006_skl52,黄忠,1.367,0.55,Models/1006/Animations
100609,1006_skl53,黄忠,1.8,1.31,Models/1006/Animations
100610,1006_stun,黄忠,,0,Models/1006/Animations
100611,1006_walk,黄忠,,0,Models/1006/Animations
100612,1006_win,黄忠,,0,Models/1006/Animations
100613,1006_jump,黄忠,,0,Models/1006/Animations
100614,1006_ride,黄忠,,0,Models/1006/Animations
100615,1006_rideidle,黄忠,,0,Models/1006/Animations
100616,1006_skl4014_1,黄忠,3.4,0,Models/1006/Animations
100617,1006_skl4014_2,黄忠,0.867,0,Models/1006/Animations
100301,1003_atk1,张飞,1,0.7,Models/1003/Animations
100302,1003_atk2,张飞,1,0.35,Models/1003/Animations
100303,1003_die,张飞,,0,Models/1003/Animations
100304,1003_hurt,张飞,0.667,0,Models/1003/Animations
100305,1003_idle,张飞,,0,Models/1003/Animations
100306,1003_prepare,张飞,1,0,Models/1003/Animations
100307,1003_skl1,张飞,2,1,Models/1003/Animations
100308,1003_skl2,张飞,3.367,0.645|0.892|1.171|1.538|2.969,Models/1003/Animations
100309,1003_skl3,张飞,2.033,1.07,Models/1003/Animations
100310,1003_stun,张飞,,0,Models/1003/Animations
100311,1003_walk,张飞,,0,Models/1003/Animations
100312,1003_win,张飞,,0,Models/1003/Animations
100313,1003_ride,张飞,0.8,0,Models/1003/Animations
100314,1003_rideidle,张飞,,0,Models/1003/Animations
100315,1003_skl4001,张飞,,0,Models/1003/Animations
105001,1050_atk1,祝融,1.5,0.719,Models/1050/Animations
105002,1050_atk2,祝融,1.5,0.786,Models/1050/Animations
105003,1050_die,祝融,,0,Models/1050/Animations
105004,1050_hurt,祝融,0.533,0,Models/1050/Animations
105005,1050_idle,祝融,,0,Models/1050/Animations
105006,1050_prepare,祝融,1,0,Models/1050/Animations
105007,1050_skl532,祝融,3,1.85|2.637,Models/1050/Animations
105008,1050_skl531,祝融,2.667,1.09,Models/1050/Animations
105009,1050_stun,祝融,,0,Models/1050/Animations
105010,1050_walk,祝融,,0,Models/1050/Animations
105011,1050_win,祝融,,0,Models/1050/Animations
105012,1050_jump,祝融,,0,Models/1050/Animations
105013,1050_skl4007,祝融,3.5,0,Models/1050/Animations
105014,1050_ride,祝融,0.8,0,Models/1050/Animations
105015,1050_rideidle,祝融,,0,Models/1050/Animations
105201,1052_atk1,庞德,1,0.518,Models/1052/Animations
105202,1052_atk2,庞德,1,0.617,Models/1052/Animations
105203,1052_die,庞德,,0,Models/1052/Animations
105204,1052_hurt,庞德,0.533,0,Models/1052/Animations
105205,1052_idle,庞德,,0,Models/1052/Animations
105206,1052_prepare,庞德,1,0,Models/1052/Animations
105207,1052_skl1071,庞德,1.333,0.681,Models/1052/Animations
105208,1052_skl1072,庞德,2.267,1.052,Models/1052/Animations
105209,1052_stun,庞德,,0,Models/1052/Animations
105210,1052_walk,庞德,,0,Models/1052/Animations
105211,1052_win,庞德,,0,Models/1052/Animations
105212,1052_ride,庞德,0.8,0,Models/1052/Animations
105213,1052_rideidle,庞德,,0,Models/1052/Animations
100701,1007_atk1,诸葛亮,0.933,0.425,Models/1007/Animations
100702,1007_atk2,诸葛亮,1.067,0.68,Models/1007/Animations
100703,1007_die,诸葛亮,1.8,0,Models/1007/Animations
100704,1007_hurt,诸葛亮,0.533,0,Models/1007/Animations
100705,1007_idle,诸葛亮,1,0,Models/1007/Animations
100706,1007_prepare,诸葛亮,1,0,Models/1007/Animations
100707,1007_ride,诸葛亮,,0,Models/1007/Animations
100708,1007_skl61,诸葛亮,2,1,Models/1007/Animations
100709,1007_skl62,诸葛亮,2.1,1.47,Models/1007/Animations
100710,1007_skl63,诸葛亮,2,1.47,Models/1007/Animations
100711,1007_stun,诸葛亮,,0,Models/1007/Animations
100712,1007_walk,诸葛亮,,0,Models/1007/Animations
100713,1007_win,诸葛亮,,0,Models/1007/Animations
100714,1007_rideidle,诸葛亮,,0,Models/1007/Animations
100715,1007_skl4013_1,诸葛亮,,0,Models/1007/Animations
100716,1007_skl4013_2,诸葛亮,,0,Models/1007/Animations
101101,1011_atk1,法正,1.5,0.66,Models/1011/Animations
101102,1011_atk2,法正,1.533,0.655,Models/1011/Animations
101103,1011_die,法正,,0,Models/1011/Animations
101104,1011_hurt,法正,0.667,0,Models/1011/Animations
101105,1011_idle,法正,,0,Models/1011/Animations
101106,1011_prepare,法正,1,0,Models/1011/Animations
101107,1011_skl1,法正,2.867,2.17,Models/1011/Animations
101108,1011_skl2,法正,1.333,0.8,Models/1011/Animations
101109,1011_skl3,法正,1.733,0.86,Models/1011/Animations
101110,1011_stun,法正,,0,Models/1011/Animations
101111,1011_walk,法正,,0,Models/1011/Animations
101112,1011_win,法正,,0,Models/1011/Animations
101113,1011_ride,法正,0.8,0,Models/1011/Animations
101114,1011_rideidle,法正,,0,Models/1011/Animations
101201,1012_atk1,黄月英,1.667,0.667,Models/1012/Animations
101202,1012_atk2,黄月英,1.333,0.694,Models/1012/Animations
101203,1012_die,黄月英,,0,Models/1012/Animations
101204,1012_hurt,黄月英,0.533,0,Models/1012/Animations
101205,1012_idle,黄月英,,0,Models/1012/Animations
101206,1012_prepare,黄月英,1,0,Models/1012/Animations
101207,1012_skl111,黄月英,1.5,1.073,Models/1012/Animations
101208,1012_skl112,黄月英,2,1.44,Models/1012/Animations
101209,1012_skl114,黄月英,1.667,1.29,Models/1012/Animations
101210,1012_stun,黄月英,,0,Models/1012/Animations
101211,1012_walk,黄月英,,0,Models/1012/Animations
101212,1012_win,黄月英,,0,Models/1012/Animations
101213,1012_ride,黄月英,,0,Models/1012/Animations
101214,1012_rideidle,黄月英,,0,Models/1012/Animations
101215,1012_skl113,黄月英,2,0.5|1.5,Models/1012/Animations
101216,1012_skl4013,黄月英,,0,Models/1012/Animations
104201,1042_atk1,吕布,1,0.48,Models/1042/Animations
104202,1042_atk2,吕布,1.333,0.62,Models/1042/Animations
104203,1042_die,吕布,,0,Models/1042/Animations
104204,1042_idle,吕布,,0,Models/1042/Animations
104205,1042_prepare,吕布,1,0,Models/1042/Animations
104206,1042_skl411,吕布,3.033,0.9|1.27|1.51|1.72|2.42,Models/1042/Animations
104207,1042_skl412,吕布,2.667,0.58|0.9|1.92,Models/1042/Animations
104208,1042_skl413,吕布,1.833,0.88,Models/1042/Animations
104209,1042_stun,吕布,,0,Models/1042/Animations
104210,1042_walk,吕布,,0,Models/1042/Animations
104211,1042_win,吕布,,0,Models/1042/Animations
104212,1042_hurt,吕布,0.533,0,Models/1042/Animations
104213,1042_ride,吕布,0.8,0,Models/1042/Animations
104214,1042_rideidle,吕布,,0,Models/1042/Animations
104215,1042_skl4006_01,吕布,6.33,0,Models/1042/Animations
104216,1042_skl4006_02,吕布,2,0,Models/1042/Animations
104901,1049_atk1,孟获,1,0.426,Models/1049/Animations
104902,1049_atk2,孟获,1,0.477,Models/1049/Animations
104903,1049_die,孟获,,0,Models/1049/Animations
104904,1049_idle,孟获,,0,Models/1049/Animations
104905,1049_prepare,孟获,1,0,Models/1049/Animations
104906,1049_skl1,孟获,1.767,0.745,Models/1049/Animations
104907,1049_skl2,孟获,2.733,0.273|0.313|0.353|0.393|0.432|0.472|0.512|0.552|0.591|0.631|0.671|0.711|0.735|1.473|1.749|2.06|2.32,Models/1049/Animations
104908,1049_skl3,孟获,2.233,1.022,Models/1049/Animations
104909,1049_stun,孟获,,0,Models/1049/Animations
104910,1049_walk,孟获,,0,Models/1049/Animations
104911,1049_win,孟获,,0,Models/1049/Animations
104912,1049_hurt,孟获,0.667,0,Models/1049/Animations
104913,1049_skl4007,孟获,3,0,Models/1049/Animations
104914,1049_ride,孟获,0.8,0,Models/1049/Animations
104915,1049_rideidle,孟获,,0,Models/1049/Animations
103801,1038_atk1,孙尚香,1.167,0.66,Models/1038/Animations
103802,1038_atk2,孙尚香,1.333,0.64,Models/1038/Animations
103803,1038_die,孙尚香,,0,Models/1038/Animations
103804,1038_hurt,孙尚香,0.533,0,Models/1038/Animations
103805,1038_idle,孙尚香,,0,Models/1038/Animations
103806,1038_prepare,孙尚香,1,0,Models/1038/Animations
103807,1038_stun,孙尚香,,0,Models/1038/Animations
103808,1038_walk,孙尚香,,0,Models/1038/Animations
103809,1038_win,孙尚香,,0,Models/1038/Animations
103810,1038_skl371,孙尚香,2.667,0.16|0.416|1.06|1.296|1.482|2.05,Models/1038/Animations
103811,1038_skl372,孙尚香,1.667,1,Models/1038/Animations
103812,1038_ride,孙尚香,0.8,0,Models/1038/Animations
103813,1038_rideidle,孙尚香,1,0,Models/1038/Animations
103901,1039_atk1,甘宁,1.433,0.64,Models/1039/Animations
103902,1039_atk2,甘宁,1.933,0.93,Models/1039/Animations
103903,1039_die,甘宁,,0,Models/1039/Animations
103904,1039_idle,甘宁,,0,Models/1039/Animations
103905,1039_prepare,甘宁,1,0,Models/1039/Animations
103906,1039_skl381,甘宁,2.33,1.16|1.88,Models/1039/Animations
103907,1039_skl382,甘宁,1.8,0.72|1.26,Models/1039/Animations
103908,1039_skl383,甘宁,1.333,0.8,Models/1039/Animations
103909,1039_stun,甘宁,,0,Models/1039/Animations
103910,1039_walk,甘宁,,0,Models/1039/Animations
103911,1039_win,甘宁,,0,Models/1039/Animations
103912,1039_hurt,甘宁,0.533,0,Models/1039/Animations
103913,1039_ride,甘宁,,0,Models/1039/Animations
103914,1039_rideidle,甘宁,,0,Models/1039/Animations
111501,1115_atk1,关凤,0.867,0.39,Models/1115/Animations
111502,1115_atk2,关凤,0.8,0.417,Models/1115/Animations
111503,1115_die,关凤,,0,Models/1115/Animations
111504,1115_hurt,关凤,0.567,0,Models/1115/Animations
111505,1115_idle,关凤,,0,Models/1115/Animations
111506,1115_prepare,关凤,1.033,0,Models/1115/Animations
111507,1115_skl1021,关凤,2.5,0.044|0.088|0.132|0.176|0.22|0.264|0.319|0.761|1.146|1.703|2.2,Models/1115/Animations
111508,1115_skl1022,关凤,1.1,0.53,Models/1115/Animations
111509,1115_skl1024,关凤,1.167,0.536|0.955,Models/1115/Animations
111510,1115_stun,关凤,,0,Models/1115/Animations
111511,1115_walk,关凤,,0,Models/1115/Animations
111512,1115_win,关凤,,0,Models/1115/Animations
111513,1115_ride,关凤,,0,Models/1115/Animations
111514,1115_rideidle,关凤,,0,Models/1115/Animations
111601,1116_atk1,老板娘,1.333,0.619,Models/1116/Animations
111602,1116_atk2,老板娘,1.233,0.549,Models/1116/Animations
111603,1116_die,老板娘,,0,Models/1116/Animations
111604,1116_hurt,老板娘,0.533,0,Models/1116/Animations
111605,1116_idle,老板娘,,0,Models/1116/Animations
111606,1116_prepare,老板娘,1,0,Models/1116/Animations
111607,1116_skl1041,老板娘,2,0.82,Models/1116/Animations
111608,1116_skl1042,老板娘,1.667,1.147,Models/1116/Animations
111609,1116_skl1043,老板娘,2,1.494,Models/1116/Animations
111610,1116_stun,老板娘,,0,Models/1116/Animations
111611,1116_walk,老板娘,,0,Models/1116/Animations
111612,1116_win,老板娘,,0,Models/1116/Animations
111613,1116_ride,老板娘,,0,Models/1116/Animations
111614,1116_rideidle,老板娘,,0,Models/1116/Animations
111701,1117_atk1,张星彩,1,0.634,Models/1117/Animations
111702,1117_atk2,张星彩,1,0.69,Models/1117/Animations
111703,1117_die,张星彩,,0,Models/1117/Animations
111704,1117_hurt,张星彩,0.533,0,Models/1117/Animations
111705,1117_idle,张星彩,,0,Models/1117/Animations
111706,1117_prepare,张星彩,1,0,Models/1117/Animations
111707,1117_skl1051,张星彩,2,0.856|1.082,Models/1117/Animations
111708,1117_skl1052,张星彩,1.333,0.639,Models/1117/Animations
111709,1117_skl1053,张星彩,2,1.288,Models/1117/Animations
111710,1117_stun,张星彩,,0,Models/1117/Animations
111711,1117_walk,张星彩,,0,Models/1117/Animations
111712,1117_win,张星彩,,0,Models/1117/Animations
111713,1117_ride,张星彩,,0,Models/1117/Animations
111714,1117_rideidle,张星彩,,0,Models/1117/Animations
106701,1067_atk1,丁奉,1.233,0.46,Models/1067/Animations
106702,1067_atk2,丁奉,1.33,0.44,Models/1067/Animations
106703,1067_die,丁奉,,0,Models/1067/Animations
106704,1067_idle,丁奉,,0,Models/1067/Animations
106705,1067_prepare,丁奉,1,0,Models/1067/Animations
106706,1067_skl701,丁奉,1.333,0.28,Models/1067/Animations
106707,1067_skl702,丁奉,1,0.5,Models/1067/Animations
106708,1067_skl703,丁奉,2.1,0.25|0.57|0.82|1.4,Models/1067/Animations
106709,1067_stun,丁奉,,0,Models/1067/Animations
106710,1067_walk,丁奉,,0,Models/1067/Animations
106711,1067_win,丁奉,,0,Models/1067/Animations
106712,1067_hurt,丁奉,0.533,0,Models/1067/Animations
106713,1067_ride,丁奉,0.8,0,Models/1067/Animations
106714,1067_rideidle,丁奉,,0,Models/1067/Animations
100401,1004_atk1,赵云,1.333,0.58,Models/1004/Animations
100402,1004_atk2,赵云,1.333,0.83,Models/1004/Animations
100403,1004_die,赵云,,0,Models/1004/Animations
100404,1004_idle,赵云,,0,Models/1004/Animations
100405,1004_prepare,赵云,1,0,Models/1004/Animations
100406,1004_skl31,赵云,2,0.46|1.42,Models/1004/Animations
100407,1004_skl32,赵云,2.667,0.53|0.69|0.88|1.12|1.97,Models/1004/Animations
100408,1004_stun,赵云,,0,Models/1004/Animations
100409,1004_walk,赵云,,0,Models/1004/Animations
100410,1004_win,赵云,,0,Models/1004/Animations
100411,1004_hurt,赵云,0.533,0,Models/1004/Animations
100412,1004_ride,赵云,0.8,0,Models/1004/Animations
100413,1004_rideidle,赵云,,0,Models/1004/Animations
100414,1004_skl4016,赵云,3.5,0,Models/1004/Animations
107501,1075_atk1,颜良,1.333,0.51,Models/1075/Animations
107502,1075_atk2,颜良,1.333,0.53,Models/1075/Animations
107503,1075_die,颜良,,0,Models/1075/Animations
107504,1075_idle,颜良,,0,Models/1075/Animations
107505,1075_prepare,颜良,1,0,Models/1075/Animations
107506,1075_skl481,颜良,1.9,0.77,Models/1075/Animations
107507,1075_skl483,颜良,2,1.03,Models/1075/Animations
107508,1075_stun,颜良,,0,Models/1075/Animations
107509,1075_walk,颜良,,0,Models/1075/Animations
107510,1075_win,颜良,,0,Models/1075/Animations
107511,1075_hurt,颜良,0.533,0,Models/1075/Animations
107512,1075_skl4003,颜良,,0,Models/1075/Animations
107513,1075_ride,颜良,0.8,0,Models/1075/Animations
107514,1075_rideidle,颜良,,0,Models/1075/Animations
101601,1016_atk1,许褚,1.333,0.73,Models/1016/Animations
101602,1016_atk2,许褚,1.333,0.57,Models/1016/Animations
101603,1016_die,许褚,,0,Models/1016/Animations
101604,1016_idle,许褚,,0,Models/1016/Animations
101605,1016_prepare,许褚,1,0,Models/1016/Animations
101606,1016_skl151,许褚,2.667,0.4|0.8|1.1|1.24|1.4|1.95,Models/1016/Animations
101607,1016_skl152,许褚,3,0.85|1.5|1.65|2.1,Models/1016/Animations
101608,1016_skl153,许褚,2,1.5,Models/1016/Animations
101609,1016_stun,许褚,,0,Models/1016/Animations
101610,1016_walk,许褚,,0,Models/1016/Animations
101611,1016_win,许褚,,0,Models/1016/Animations
101612,1016_hurt,许褚,0.533,0,Models/1016/Animations
101613,1016_ride,许褚,,0,Models/1016/Animations
101614,1016_skl4004_p1,许褚,2.3,0,Models/1016/Animations
101615,1016_skl4004_p2,许褚,0.83,0,Models/1016/Animations
101616,1016_skl4004_p3,许褚,1,0,Models/1016/Animations
101617,1016_skl4004_p4,许褚,2,0,Models/1016/Animations
101618,1016_rideidle,许褚,,0,Models/1016/Animations
101701,1017_atk1,典韦,1.333,0.6,Models/1017/Animations
101702,1017_atk2,典韦,1.167,0.54,Models/1017/Animations
101703,1017_die,典韦,,0,Models/1017/Animations
101704,1017_idle,典韦,,0,Models/1017/Animations
101705,1017_prepare,典韦,1,0,Models/1017/Animations
101706,1017_skl161,典韦,5,0.95,Models/1017/Animations
101707,1017_skl162,典韦,1.667,0.94,Models/1017/Animations
101708,1017_stun,典韦,,0,Models/1017/Animations
101709,1017_walk,典韦,,0,Models/1017/Animations
101710,1017_win,典韦,,0,Models/1017/Animations
101711,1017_hurt,典韦,0.533,0,Models/1017/Animations
101712,1017_ride,典韦,,0,Models/1017/Animations
101713,1017_skl4004_p1,典韦,1.167,0,Models/1017/Animations
101714,1017_skl4004_p2,典韦,1.33,0,Models/1017/Animations
101715,1017_skl4004_p3,典韦,1.833,0,Models/1017/Animations
101716,1017_rideidle,典韦,,0,Models/1017/Animations
106401,1064_atk1,程昱,1,0.5,Models/1064/Animations
106402,1064_atk2,程昱,1.167,0.82,Models/1064/Animations
106403,1064_die,程昱,,0,Models/1064/Animations
106404,1064_idle,程昱,,0,Models/1064/Animations
106405,1064_prepare,程昱,1,0,Models/1064/Animations
106406,1064_skl671,程昱,4.333,1.2|1.5|1.7|1.9|2.1|2.3|2.5|2.7|2.9|3.1,Models/1064/Animations
106407,1064_skl672,程昱,1.5,1.21,Models/1064/Animations
106408,1064_skl673,程昱,2,1.52,Models/1064/Animations
106409,1064_stun,程昱,,0,Models/1064/Animations
106410,1064_walk,程昱,,0,Models/1064/Animations
106411,1064_win,程昱,,0,Models/1064/Animations
106412,1064_hurt,程昱,0.533,0,Models/1064/Animations
106413,1064_ride,程昱,0.8,0,Models/1064/Animations
106414,1064_rideidle,程昱,,0,Models/1064/Animations
106415,1064_skl4010,程昱,2.833,0,Models/1064/Animations
107601,1076_atk1,文丑,1,0.51,Models/1076/Animations
107602,1076_atk2,文丑,1,0.53,Models/1076/Animations
107603,1076_die,文丑,,0,Models/1076/Animations
107604,1076_hurt,文丑,0.667,0,Models/1076/Animations
107605,1076_idle,文丑,,0,Models/1076/Animations
107606,1076_prepare,文丑,1,0,Models/1076/Animations
107607,1076_skl491,文丑,1.867,1.38,Models/1076/Animations
107608,1076_skl492,文丑,2,0.4|0.84|1.6,Models/1076/Animations
107609,1076_skl494,文丑,1,0.61,Models/1076/Animations
107610,1076_stun,文丑,,0,Models/1076/Animations
107611,1076_walk,文丑,,0,Models/1076/Animations
107612,1076_win,文丑,,0,Models/1076/Animations
107613,1076_skl4003,文丑,,0,Models/1076/Animations
107614,1076_ride,文丑,,0,Models/1076/Animations
107615,1076_rideidle,文丑,,0,Models/1076/Animations
107701,1077_atk1,纪灵,1.267,0.712,Models/1077/Animations
107702,1077_atk2,纪灵,1,0.514,Models/1077/Animations
107703,1077_die,纪灵,,0,Models/1077/Animations
107704,1077_idle,纪灵,,0,Models/1077/Animations
107705,1077_prepare,纪灵,1,0,Models/1077/Animations
107706,1077_skl801,纪灵,1.333,0.685,Models/1077/Animations
107707,1077_skl802,纪灵,1.833,1.08,Models/1077/Animations
107708,1077_stun,纪灵,,0,Models/1077/Animations
107709,1077_walk,纪灵,,0,Models/1077/Animations
107710,1077_win,纪灵,,0,Models/1077/Animations
107711,1077_hurt,纪灵,0.533,0,Models/1077/Animations
107712,1077_ride,纪灵,0.8,0,Models/1077/Animations
107713,1077_rideidle,纪灵,,0,Models/1077/Animations
107901,1079_atk1,沙摩柯,1,0.47,Models/1079/Animations
107902,1079_atk2,沙摩柯,1,0.51,Models/1079/Animations
107903,1079_die,沙摩柯,,0,Models/1079/Animations
107904,1079_idle,沙摩柯,,0,Models/1079/Animations
107905,1079_prepare,沙摩柯,1,0,Models/1079/Animations
107906,1079_skl821,沙摩柯,2.333,0.2|0.25|0.3|0.35|0.4|0.45|0.5|0.55|0.6|0.65|0.7|0.75|0.8|0.85|0.9|1,Models/1079/Animations
107907,1079_skl822,沙摩柯,2,1.34,Models/1079/Animations
107908,1079_stun,沙摩柯,,0,Models/1079/Animations
107909,1079_walk,沙摩柯,,0,Models/1079/Animations
107910,1079_win,沙摩柯,,0,Models/1079/Animations
107911,1079_hurt,沙摩柯,0.533,0,Models/1079/Animations
107912,1079_ride,沙摩柯,0.8,0,Models/1079/Animations
107913,1079_rideidle,沙摩柯,,0,Models/1079/Animations
100501,1005_atk1,马超,1.333,0.73,Models/1005/Animations
100502,1005_atk2,马超,1,0.37,Models/1005/Animations
100503,1005_die,马超,,0,Models/1005/Animations
100504,1005_hurt,马超,0.533,0,Models/1005/Animations
100505,1005_idle,马超,,0,Models/1005/Animations
100506,1005_prepare,马超,1,0,Models/1005/Animations
100507,1005_skl41,马超,3.333,0.71|0.88|1.44|1.63|1.77|1.88|1.95|3.07,Models/1005/Animations
100508,1005_skl42,马超,2.5,0.84|1.11|1.91,Models/1005/Animations
100509,1005_skl43,马超,1.667,1.04,Models/1005/Animations
100510,1005_stun,马超,,0,Models/1005/Animations
100511,1005_walk,马超,,0,Models/1005/Animations
100512,1005_win,马超,,0,Models/1005/Animations
100513,1005_ride,马超,0.8,0,Models/1005/Animations
100514,1005_rideidle,马超,,0,Models/1005/Animations
100515,1005_skl4016,马超,5,0,Models/1005/Animations
105701,1057_atk1,关平,1.167,0.682,Models/1057/Animations
105702,1057_atk2,关平,1,0.634,Models/1057/Animations
105703,1057_die,关平,,0,Models/1057/Animations
105704,1057_hurt,关平,0.533,0,Models/1057/Animations
105705,1057_idle,关平,,0,Models/1057/Animations
105706,1057_prepare,关平,1,0,Models/1057/Animations
105707,1057_skl601,关平,2.5,0.65|1.165|1.995,Models/1057/Animations
105708,1057_skl602,关平,2,1.63,Models/1057/Animations
105709,1057_stun,关平,,0,Models/1057/Animations
105710,1057_walk,关平,,0,Models/1057/Animations
105711,1057_win,关平,,0,Models/1057/Animations
105712,1057_ride,关平,0.8,0,Models/1057/Animations
105713,1057_rideidle,关平,,0,Models/1057/Animations
109801,1098_atk1,高顺,1.333,0.37,Models/1098/Animations
109802,1098_atk2,高顺,1.333,0.439,Models/1098/Animations
109803,1098_die,高顺,,0,Models/1098/Animations
109804,1098_idle,高顺,,0,Models/1098/Animations
109805,1098_prepare,高顺,1,0,Models/1098/Animations
109806,1098_skl771,高顺,2.333,0.091|0.171|0.251|0.331|0.411|0.491|0.571|0.651|0.731|0.811|0.891|0.971|1.033,Models/1098/Animations
109807,1098_skl772,高顺,2,0.63|0.868|1.152,Models/1098/Animations
109808,1098_stun,高顺,,0,Models/1098/Animations
109809,1098_walk,高顺,,0,Models/1098/Animations
109810,1098_win,高顺,,0,Models/1098/Animations
109811,1098_hurt,高顺,0.533,0,Models/1098/Animations
109812,1098_ride,高顺,,0,Models/1098/Animations
109813,1098_rideidle,高顺,,0,Models/1098/Animations
104501,1045_atk1,华佗,1.5,0.351,Models/1045/Animations
104502,1045_atk2,华佗,1.5,0.63,Models/1045/Animations
104503,1045_die,华佗,,0,Models/1045/Animations
104504,1045_idle,华佗,,0,Models/1045/Animations
104505,1045_prepare,华佗,1,0,Models/1045/Animations
104506,1045_skl1,华佗,1.733,1.08,Models/1045/Animations
104507,1045_skl3,华佗,2.767,1.81,Models/1045/Animations
104508,1045_skl2,华佗,5,0.25|1.5|2.75|4,Models/1045/Animations
104509,1045_stun,华佗,,0,Models/1045/Animations
104510,1045_walk,华佗,,0,Models/1045/Animations
104511,1045_win,华佗,,0,Models/1045/Animations
104512,1045_hurt,华佗,0.667,0,Models/1045/Animations
104513,1045_ride,华佗,0.8,0,Models/1045/Animations
104514,1045_rideidle,华佗,,0,Models/1045/Animations
101301,1013_atk1,曹操,1,0.454,Models/1013/Animations
101302,1013_atk2,曹操,1,0.514,Models/1013/Animations
101303,1013_die,曹操,,0,Models/1013/Animations
101304,1013_hurt,曹操,0.667,0,Models/1013/Animations
101305,1013_idle,曹操,,0,Models/1013/Animations
101306,1013_prepare,曹操,1,0,Models/1013/Animations
101307,1013_skl121,曹操,2.033,0.1|0.3|0.6|0.9|1.178,Models/1013/Animations
101308,1013_skl122,曹操,2,0.952|1.41,Models/1013/Animations
101309,1013_skl123,曹操,1.333,0.64,Models/1013/Animations
101310,1013_stun,曹操,,0,Models/1013/Animations
101311,1013_walk,曹操,,0,Models/1013/Animations
101312,1013_win,曹操,,0,Models/1013/Animations
101313,1013_jump,曹操,,0,Models/1013/Animations
101314,1013_story01,曹操,,0,Models/1013/Animations
101315,1013_story02,曹操,,0,Models/1013/Animations
101316,1013_ride,曹操,0.8,0,Models/1013/Animations
101317,1013_rideidle,曹操,,0,Models/1013/Animations
104301,1043_atk1,袁绍,1,0.659,Models/1043/Animations
104302,1043_atk2,袁绍,1,0.655,Models/1043/Animations
104303,1043_die,袁绍,,0,Models/1043/Animations
104304,1043_hurt,袁绍,0.667,0,Models/1043/Animations
